pokedex,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
1,318,45,49,49,65,65,45,0
2,405,60,62,63,80,80,60,0
3,525,80,82,83,100,100,80,0
3,625,80,100,123,122,120,80,0
4,309,39,52,43,60,50,65,0
5,405,58,64,58,80,65,80,0
6,534,78,84,78,109,85,100,0
6,634,78,130,111,130,85,100,0
6,634,78,104,78,159,115,100,0
7,314,44,48,65,50,64,43,0
8,405,59,63,80,65,80,58,0
9,530,79,83,100,85,105,78,0
9,630,79,103,120,135,115,78,0
10,195,45,30,35,20,20,45,0
11,205,50,20,55,25,25,30,0
12,395,60,45,50,90,80,70,0
13,195,40,35,30,20,20,50,0
14,205,45,25,50,25,25,35,0
15,395,65,90,40,45,80,75,0
15,495,65,150,40,15,80,145,0
16,251,40,45,40,35,35,56,0
17,349,63,60,55,50,50,71,0
18,479,83,80,75,70,70,101,0
18,579,83,80,80,135,80,121,0
19,253,30,56,35,25,35,72,0
20,413,55,81,60,50,70,97,0
21,262,40,60,30,31,31,70,0
22,442,65,90,65,61,61,100,0
23,288,35,60,44,40,54,55,0
24,438,60,85,69,65,79,80,0
25,320,35,55,40,50,50,90,0
26,485,60,90,55,90,80,110,0
27,300,50,75,85,20,30,40,0
28,450,75,100,110,45,55,65,0
29,275,55,47,52,40,40,41,0
30,365,70,62,67,55,55,56,0
31,505,90,92,87,75,85,76,0
32,273,46,57,40,40,40,50,0
33,365,61,72,57,55,55,65,0
34,505,81,102,77,85,75,85,0
35,323,70,45,48,60,65,35,0
36,483,95,70,73,95,90,60,0
37,299,38,41,40,50,65,65,0
38,505,73,76,75,81,100,100,0
39,270,115,45,20,45,25,20,0
40,435,140,70,45,85,50,45,0
41,245,40,45,35,30,40,55,0
42,455,75,80,70,65,75,90,0
43,320,45,50,55,75,65,30,0
44,395,60,65,70,85,75,40,0
45,490,75,80,85,110,90,50,0
46,285,35,70,55,45,55,25,0
47,405,60,95,80,60,80,30,0
48,305,60,55,50,40,55,45,0
49,450,70,65,60,90,75,90,0
50,265,10,55,25,35,45,95,0
51,405,35,80,50,50,70,120,0
52,290,40,45,35,40,40,90,0
53,440,65,70,60,65,65,115,0
54,320,50,52,48,65,50,55,0
55,500,80,82,78,95,80,85,0
56,305,40,80,35,35,45,70,0
57,455,65,105,60,60,70,95,0
58,350,55,70,45,70,50,60,0
59,555,90,110,80,100,80,95,0
60,300,40,50,40,40,40,90,0
61,385,65,65,65,50,50,90,0
62,510,90,95,95,70,90,70,0
63,310,25,20,15,105,55,90,0
64,400,40,35,30,120,70,105,0
65,500,55,50,45,135,95,120,0
65,590,55,50,65,175,95,150,0
66,305,70,80,50,35,35,35,0
67,405,80,100,70,50,60,45,0
68,505,90,130,80,65,85,55,0
69,300,50,75,35,70,30,40,0
70,390,65,90,50,85,45,55,0
71,490,80,105,65,100,70,70,0
72,335,40,40,35,50,100,70,0
73,515,80,70,65,80,120,100,0
74,300,40,80,100,30,30,20,0
75,390,55,95,115,45,45,35,0
76,495,80,120,130,55,65,45,0
77,410,50,85,55,65,65,90,0
78,500,65,100,70,80,80,105,0
79,315,90,65,65,40,40,15,0
80,490,95,75,110,100,80,30,0
80,590,95,75,180,130,80,30,0
81,325,25,35,70,95,55,45,0
82,465,50,60,95,120,70,70,0
83,352,52,65,55,58,62,60,0
84,310,35,85,45,35,35,75,0
85,460,60,110,70,60,60,100,0
86,325,65,45,55,45,70,45,0
87,475,90,70,80,70,95,70,0
88,325,80,80,50,40,50,25,0
89,500,105,105,75,65,100,50,0
90,305,30,65,100,45,25,40,0
91,525,50,95,180,85,45,70,0
92,310,30,35,30,100,35,80,0
93,405,45,50,45,115,55,95,0
94,500,60,65,60,130,75,110,0
94,600,60,65,80,170,95,130,0
95,385,35,45,160,30,45,70,0
96,328,60,48,45,43,90,42,0
97,483,85,73,70,73,115,67,0
98,325,30,105,90,25,25,50,0
99,475,55,130,115,50,50,75,0
100,330,40,30,50,55,55,100,0
101,480,60,50,70,80,80,140,0
102,325,60,40,80,60,45,40,0
103,520,95,95,85,125,65,55,0
104,320,50,50,95,40,50,35,0
105,425,60,80,110,50,80,45,0
106,455,50,120,53,35,110,87,0
107,455,50,105,79,35,110,76,0
108,385,90,55,75,60,75,30,0
109,340,40,65,95,60,45,35,0
110,490,65,90,120,85,70,60,0
111,345,80,85,95,30,30,25,0
112,485,105,130,120,45,45,40,0
113,450,250,5,5,35,105,50,0
114,435,65,55,115,100,40,60,0
115,490,105,95,80,40,80,90,0
115,590,105,125,100,60,100,100,0
116,295,30,40,70,70,25,60,0
117,440,55,65,95,95,45,85,0
118,320,45,67,60,35,50,63,0
119,450,80,92,65,65,80,68,0
120,340,30,45,55,70,55,85,0
121,520,60,75,85,100,85,115,0
122,460,40,45,65,100,120,90,0
123,500,70,110,80,55,80,105,0
124,455,65,50,35,115,95,95,0
125,490,65,83,57,95,85,105,0
126,495,65,95,57,100,85,93,0
127,500,65,125,100,55,70,85,0
127,600,65,155,120,65,90,105,0
128,490,75,100,95,40,70,110,0
129,200,20,10,55,15,20,80,0
130,540,95,125,79,60,100,81,0
130,640,95,155,109,70,130,81,0
131,535,130,85,80,85,95,60,0
132,288,48,48,48,48,48,48,0
133,325,55,55,50,45,65,55,0
134,525,130,65,60,110,95,65,0
135,525,65,65,60,110,95,130,0
136,525,65,130,60,95,110,65,0
137,395,65,60,70,85,75,40,0
138,355,35,40,100,90,55,35,0
139,495,70,60,125,115,70,55,0
140,355,30,80,90,55,45,55,0
141,495,60,115,105,65,70,80,0
142,515,80,105,65,60,75,130,0
142,615,80,135,85,70,95,150,0
143,540,160,110,65,65,110,30,0
144,580,90,85,100,95,125,85,1
145,580,90,90,85,125,90,100,1
146,580,90,100,90,125,85,90,1
147,300,41,64,45,50,50,50,0
148,420,61,84,65,70,70,70,0
149,600,91,134,95,100,100,80,0
150,680,106,110,90,154,90,130,1
150,780,106,190,100,154,100,130,1
150,780,106,150,70,194,120,140,1
151,600,100,100,100,100,100,100,0
152,318,45,49,65,49,65,45,0
153,405,60,62,80,63,80,60,0
154,525,80,82,100,83,100,80,0
155,309,39,52,43,60,50,65,0
156,405,58,64,58,80,65,80,0
157,534,78,84,78,109,85,100,0
158,314,50,65,64,44,48,43,0
159,405,65,80,80,59,63,58,0
160,530,85,105,100,79,83,78,0
161,215,35,46,34,35,45,20,0
162,415,85,76,64,45,55,90,0
163,262,60,30,30,36,56,50,0
164,442,100,50,50,76,96,70,0
165,265,40,20,30,40,80,55,0
166,390,55,35,50,55,110,85,0
167,250,40,60,40,40,40,30,0
168,390,70,90,70,60,60,40,0
169,535,85,90,80,70,80,130,0
170,330,75,38,38,56,56,67,0
171,460,125,58,58,76,76,67,0
172,205,20,40,15,35,35,60,0
173,218,50,25,28,45,55,15,0
174,210,90,30,15,40,20,15,0
175,245,35,20,65,40,65,20,0
176,405,55,40,85,80,105,40,0
177,320,40,50,45,70,45,70,0
178,470,65,75,70,95,70,95,0
179,280,55,40,40,65,45,35,0
180,365,70,55,55,80,60,45,0
181,510,90,75,85,115,90,55,0
181,610,90,95,105,165,110,45,0
182,490,75,80,95,90,100,50,0
183,250,70,20,50,20,50,40,0
184,420,100,50,80,60,80,50,0
185,410,70,100,115,30,65,30,0
186,500,90,75,75,90,100,70,0
187,250,35,35,40,35,55,50,0
188,340,55,45,50,45,65,80,0
189,460,75,55,70,55,95,110,0
190,360,55,70,55,40,55,85,0
191,180,30,30,30,30,30,30,0
192,425,75,75,55,105,85,30,0
193,390,65,65,45,75,45,95,0
194,210,55,45,45,25,25,15,0
195,430,95,85,85,65,65,35,0
196,525,65,65,60,130,95,110,0
197,525,95,65,110,60,130,65,0
198,405,60,85,42,85,42,91,0
199,490,95,75,80,100,110,30,0
200,435,60,60,60,85,85,85,0
201,336,48,72,48,72,48,48,0
202,405,190,33,58,33,58,33,0
203,455,70,80,65,90,65,85,0
204,290,50,65,90,35,35,15,0
205,465,75,90,140,60,60,40,0
206,415,100,70,70,65,65,45,0
207,430,65,75,105,35,65,85,0
208,510,75,85,200,55,65,30,0
208,610,75,125,230,55,95,30,0
209,300,60,80,50,40,40,30,0
210,450,90,120,75,60,60,45,0
211,430,65,95,75,55,55,85,0
212,500,70,130,100,55,80,65,0
212,600,70,150,140,65,100,75,0
213,505,20,10,230,10,230,5,0
214,500,80,125,75,40,95,85,0
214,600,80,185,115,40,105,75,0
215,430,55,95,55,35,75,115,0
216,330,60,80,50,50,50,40,0
217,500,90,130,75,75,75,55,0
218,250,40,40,40,70,40,20,0
219,410,50,50,120,80,80,30,0
220,250,50,50,40,30,30,50,0
221,450,100,100,80,60,60,50,0
222,380,55,55,85,65,85,35,0
223,300,35,65,35,65,35,65,0
224,480,75,105,75,105,75,45,0
225,330,45,55,45,65,45,75,0
226,465,65,40,70,80,140,70,0
227,465,65,80,140,40,70,70,0
228,330,45,60,30,80,50,65,0
229,500,75,90,50,110,80,95,0
229,600,75,90,90,140,90,115,0
230,540,75,95,95,95,95,85,0
231,330,90,60,60,40,40,40,0
232,500,90,120,120,60,60,50,0
233,515,85,80,90,105,95,60,0
234,465,73,95,62,85,65,85,0
235,250,55,20,35,20,45,75,0
236,210,35,35,35,35,35,35,0
237,455,50,95,95,35,110,70,0
238,305,45,30,15,85,65,65,0
239,360,45,63,37,65,55,95,0
240,365,45,75,37,70,55,83,0
241,490,95,80,105,40,70,100,0
242,540,255,10,10,75,135,55,0
243,580,90,85,75,115,100,115,1
244,580,115,115,85,90,75,100,1
245,580,100,75,115,90,115,85,1
246,300,50,64,50,45,50,41,0
247,410,70,84,70,65,70,51,0
248,600,100,134,110,95,100,61,0
248,700,100,164,150,95,120,71,0
249,680,106,90,130,90,154,110,1
250,680,106,130,90,110,154,90,1
251,600,100,100,100,100,100,100,0
252,310,40,45,35,65,55,70,0
253,405,50,65,45,85,65,95,0
254,530,70,85,65,105,85,120,0
254,630,70,110,75,145,85,145,0
255,310,45,60,40,70,50,45,0
256,405,60,85,60,85,60,55,0
257,530,80,120,70,110,70,80,0
257,630,80,160,80,130,80,100,0
258,310,50,70,50,50,50,40,0
259,405,70,85,70,60,70,50,0
260,535,100,110,90,85,90,60,0
260,635,100,150,110,95,110,70,0
261,220,35,55,35,30,30,35,0
262,420,70,90,70,60,60,70,0
263,240,38,30,41,30,41,60,0
264,420,78,70,61,50,61,100,0
265,195,45,45,35,20,30,20,0
266,205,50,35,55,25,25,15,0
267,395,60,70,50,100,50,65,0
268,205,50,35,55,25,25,15,0
269,385,60,50,70,50,90,65,0
270,220,40,30,30,40,50,30,0
271,340,60,50,50,60,70,50,0
272,480,80,70,70,90,100,70,0
273,220,40,40,50,30,30,30,0
274,340,70,70,40,60,40,60,0
275,480,90,100,60,90,60,80,0
276,270,40,55,30,30,30,85,0
277,430,60,85,60,50,50,125,0
278,270,40,30,30,55,30,85,0
279,430,60,50,100,85,70,65,0
280,198,28,25,25,45,35,40,0
281,278,38,35,35,65,55,50,0
282,518,68,65,65,125,115,80,0
282,618,68,85,65,165,135,100,0
283,269,40,30,32,50,52,65,0
284,414,70,60,62,80,82,60,0
285,295,60,40,60,40,60,35,0
286,460,60,130,80,60,60,70,0
287,280,60,60,60,35,35,30,0
288,440,80,80,80,55,55,90,0
289,670,150,160,100,95,65,100,0
290,266,31,45,90,30,30,40,0
291,456,61,90,45,50,50,160,0
292,236,1,90,45,30,30,40,0
293,240,64,51,23,51,23,28,0
294,360,84,71,43,71,43,48,0
295,490,104,91,63,91,73,68,0
296,237,72,60,30,20,30,25,0
297,474,144,120,60,40,60,50,0
298,190,50,20,40,20,40,20,0
299,375,30,45,135,45,90,30,0
300,260,50,45,45,35,35,50,0
301,380,70,65,65,55,55,70,0
302,380,50,75,75,65,65,50,0
302,480,50,85,125,85,115,20,0
303,380,50,85,85,55,55,50,0
303,480,50,105,125,55,95,50,0
304,330,50,70,100,40,40,30,0
305,430,60,90,140,50,50,40,0
306,530,70,110,180,60,60,50,0
306,630,70,140,230,60,80,50,0
307,280,30,40,55,40,55,60,0
308,410,60,60,75,60,75,80,0
308,510,60,100,85,80,85,100,0
309,295,40,45,40,65,40,65,0
310,475,70,75,60,105,60,105,0
310,575,70,75,80,135,80,135,0
311,405,60,50,40,85,75,95,0
312,405,60,40,50,75,85,95,0
313,400,65,73,55,47,75,85,0
314,400,65,47,55,73,75,85,0
315,400,50,60,45,100,80,65,0
316,302,70,43,53,43,53,40,0
317,467,100,73,83,73,83,55,0
318,305,45,90,20,65,20,65,0
319,460,70,120,40,95,40,95,0
319,560,70,140,70,110,65,105,0
320,400,130,70,35,70,35,60,0
321,500,170,90,45,90,45,60,0
322,305,60,60,40,65,45,35,0
323,460,70,100,70,105,75,40,0
323,560,70,120,100,145,105,20,0
324,470,70,85,140,85,70,20,0
325,330,60,25,35,70,80,60,0
326,470,80,45,65,90,110,80,0
327,360,60,60,60,60,60,60,0
328,290,45,100,45,45,45,10,0
329,340,50,70,50,50,50,70,0
330,520,80,100,80,80,80,100,0
331,335,50,85,40,85,40,35,0
332,475,70,115,60,115,60,55,0
333,310,45,40,60,40,75,50,0
334,490,75,70,90,70,105,80,0
334,590,75,110,110,110,105,80,0
335,458,73,115,60,60,60,90,0
336,458,73,100,60,100,60,65,0
337,440,70,55,65,95,85,70,0
338,440,70,95,85,55,65,70,0
339,288,50,48,43,46,41,60,0
340,468,110,78,73,76,71,60,0
341,308,43,80,65,50,35,35,0
342,468,63,120,85,90,55,55,0
343,300,40,40,55,40,70,55,0
344,500,60,70,105,70,120,75,0
345,355,66,41,77,61,87,23,0
346,495,86,81,97,81,107,43,0
347,355,45,95,50,40,50,75,0
348,495,75,125,100,70,80,45,0
349,200,20,15,20,10,55,80,0
350,540,95,60,79,100,125,81,0
351,420,70,70,70,70,70,70,0
352,440,60,90,70,60,120,40,0
353,295,44,75,35,63,33,45,0
354,455,64,115,65,83,63,65,0
354,555,64,165,75,93,83,75,0
355,295,20,40,90,30,90,25,0
356,455,40,70,130,60,130,25,0
357,460,99,68,83,72,87,51,0
358,425,65,50,70,95,80,65,0
359,465,65,130,60,75,60,75,0
359,565,65,150,60,115,60,115,0
360,260,95,23,48,23,48,23,0
361,300,50,50,50,50,50,50,0
362,480,80,80,80,80,80,80,0
362,580,80,120,80,120,80,100,0
363,290,70,40,50,55,50,25,0
364,410,90,60,70,75,70,45,0
365,530,110,80,90,95,90,65,0
366,345,35,64,85,74,55,32,0
367,485,55,104,105,94,75,52,0
