pokedex,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
368,485,55,84,105,114,75,52,0
369,485,100,90,130,45,65,55,0
370,330,43,30,55,40,65,97,0
371,300,45,75,60,40,30,50,0
372,420,65,95,100,60,50,50,0
373,600,95,135,80,110,80,100,0
373,700,95,145,130,120,90,120,0
374,300,40,55,80,35,60,30,0
375,420,60,75,100,55,80,50,0
376,600,80,135,130,95,90,70,0
376,700,80,145,150,105,110,110,0
377,580,80,100,200,50,100,50,1
378,580,80,50,100,100,200,50,1
379,580,80,75,150,75,150,50,1
380,600,80,80,90,110,130,110,1
380,700,80,100,120,140,150,110,1
381,600,80,90,80,130,110,110,1
381,700,80,130,100,160,120,110,1
382,670,100,100,90,150,140,90,1
382,770,100,150,90,180,160,90,1
383,670,100,150,140,100,90,90,1
383,770,100,180,160,150,90,90,1
384,680,105,150,90,150,90,95,1
384,780,105,180,100,180,100,115,1
385,600,100,100,100,100,100,100,1
386,600,50,150,50,150,50,150,1
386,600,50,180,20,180,20,150,1
386,600,50,70,160,70,160,90,1
386,600,50,95,90,95,90,180,1
387,318,55,68,64,45,55,31,0
388,405,75,89,85,55,65,36,0
389,525,95,109,105,75,85,56,0
390,309,44,58,44,58,44,61,0
391,405,64,78,52,78,52,81,0
392,534,76,104,71,104,71,108,0
393,314,53,51,53,61,56,40,0
394,405,64,66,68,81,76,50,0
395,530,84,86,88,111,101,60,0
396,245,40,55,30,30,30,60,0
397,340,55,75,50,40,40,80,0
398,485,85,120,70,50,60,100,0
399,250,59,45,40,35,40,31,0
400,410,79,85,60,55,60,71,0
401,194,37,25,41,25,41,25,0
402,384,77,85,51,55,51,65,0
403,263,45,65,34,40,34,45,0
404,363,60,85,49,60,49,60,0
405,523,80,120,79,95,79,70,0
406,280,40,30,35,50,70,55,0
407,515,60,70,65,125,105,90,0
408,350,67,125,40,30,30,58,0
409,495,97,165,60,65,50,58,0
410,350,30,42,118,42,88,30,0
411,495,60,52,168,47,138,30,0
412,224,40,29,45,29,45,36,0
413,424,60,59,85,79,105,36,0
413,424,60,79,105,59,85,36,0
413,424,60,69,95,69,95,36,0
414,424,70,94,50,94,50,66,0
415,244,30,30,42,30,42,70,0
416,474,70,80,102,80,102,40,0
417,405,60,45,70,45,90,95,0
418,330,55,65,35,60,30,85,0
419,495,85,105,55,85,50,115,0
420,275,45,35,45,62,53,35,0
421,450,70,60,70,87,78,85,0
422,325,76,48,48,57,62,34,0
423,475,111,83,68,92,82,39,0
424,482,75,100,66,60,66,115,0
425,348,90,50,34,60,44,70,0
426,498,150,80,44,90,54,80,0
427,350,55,66,44,44,56,85,0
428,480,65,76,84,54,96,105,0
428,580,65,136,94,54,96,135,0
429,495,60,60,60,105,105,105,0
430,505,100,125,52,105,52,71,0
431,310,49,55,42,42,37,85,0
432,452,71,82,64,64,59,112,0
433,285,45,30,50,65,50,45,0
434,329,63,63,47,41,41,74,0
435,479,103,93,67,71,61,84,0
436,300,57,24,86,24,86,23,0
437,500,67,89,116,79,116,33,0
438,290,50,80,95,10,45,10,0
439,310,20,25,45,70,90,60,0
440,220,100,5,5,15,65,30,0
441,411,76,65,45,92,42,91,0
442,485,50,92,108,92,108,35,0
443,300,58,70,45,40,45,42,0
444,410,68,90,65,50,55,82,0
445,600,108,130,95,80,85,102,0
445,700,108,170,115,120,95,92,0
446,390,135,85,40,40,85,5,0
447,285,40,70,40,35,40,60,0
448,525,70,110,70,115,70,90,0
448,625,70,145,88,140,70,112,0
449,330,68,72,78,38,42,32,0
450,525,108,112,118,68,72,47,0
451,330,40,50,90,30,55,65,0
452,500,70,90,110,60,75,95,0
453,300,48,61,40,61,40,50,0
454,490,83,106,65,86,65,85,0
455,454,74,100,72,90,72,46,0
456,330,49,49,56,49,61,66,0
457,460,69,69,76,69,86,91,0
458,345,45,20,50,60,120,50,0
459,334,60,62,50,62,60,40,0
460,494,90,92,75,92,85,60,0
460,594,90,132,105,132,105,30,0
461,510,70,120,65,45,85,125,0
462,535,70,70,115,130,90,60,0
463,515,110,85,95,80,95,50,0
464,535,115,140,130,55,55,40,0
465,535,100,100,125,110,50,50,0
466,540,75,123,67,95,85,95,0
467,540,75,95,67,125,95,83,0
468,545,85,50,95,120,115,80,0
469,515,86,76,86,116,56,95,0
470,525,65,110,130,60,65,95,0
471,525,65,60,110,130,95,65,0
472,510,75,95,125,45,75,95,0
473,530,110,130,80,70,60,80,0
474,535,85,80,70,135,75,90,0
475,518,68,125,65,65,115,80,0
475,618,68,165,95,65,115,110,0
476,525,60,55,145,75,150,40,0
477,525,45,100,135,65,135,45,0
478,480,70,80,70,80,70,110,0
479,440,50,50,77,95,77,91,0
479,520,50,65,107,105,107,86,0
479,520,50,65,107,105,107,86,0
479,520,50,65,107,105,107,86,0
479,520,50,65,107,105,107,86,0
479,520,50,65,107,105,107,86,0
480,580,75,75,130,75,130,95,1
481,580,80,105,105,105,105,80,1
482,580,75,125,70,125,70,115,1
483,680,100,120,120,150,100,90,1
484,680,90,120,100,150,120,100,1
485,600,91,90,106,130,106,77,1
486,670,110,160,110,80,110,100,1
487,680,150,100,120,100,120,90,1
487,680,150,120,100,120,100,90,1
488,600,120,70,120,75,130,85,0
489,480,80,80,80,80,80,80,0
490,600,100,100,100,100,100,100,0
491,600,70,90,90,135,90,125,1
492,600,100,100,100,100,100,100,1
492,600,100,103,75,120,75,127,1
493,720,120,120,120,120,120,120,1
494,600,100,100,100,100,100,100,1
495,308,45,45,55,45,55,63,0
496,413,60,60,75,60,75,83,0
497,528,75,75,95,75,95,113,0
498,308,65,63,45,45,45,45,0
499,418,90,93,55,70,55,55,0
500,528,110,123,65,100,65,65,0
501,308,55,55,45,63,45,45,0
502,413,75,75,60,83,60,60,0
503,528,95,100,85,108,70,70,0
504,255,45,55,39,35,39,42,0
505,420,60,85,69,60,69,77,0
506,275,45,60,45,25,45,55,0
507,370,65,80,65,35,65,60,0
508,500,85,110,90,45,90,80,0
509,281,41,50,37,50,37,66,0
510,446,64,88,50,88,50,106,0
511,316,50,53,48,53,48,64,0
512,498,75,98,63,98,63,101,0
513,316,50,53,48,53,48,64,0
514,498,75,98,63,98,63,101,0
515,316,50,53,48,53,48,64,0
516,498,75,98,63,98,63,101,0
517,292,76,25,45,67,55,24,0
518,487,116,55,85,107,95,29,0
519,264,50,55,50,36,30,43,0
520,358,62,77,62,50,42,65,0
521,488,80,115,80,65,55,93,0
522,295,45,60,32,50,32,76,0
523,497,75,100,63,80,63,116,0
524,280,55,75,85,25,25,15,0
525,390,70,105,105,50,40,20,0
526,515,85,135,130,60,80,25,0
527,313,55,45,43,55,43,72,0
528,425,67,57,55,77,55,114,0
529,328,60,85,40,30,45,68,0
530,508,110,135,60,50,65,88,0
531,445,103,60,86,60,86,50,0
531,545,103,60,126,80,126,50,0
532,305,75,80,55,25,35,35,0
533,405,85,105,85,40,50,40,0
534,505,105,140,95,55,65,45,0
535,294,50,50,40,50,40,64,0
536,384,75,65,55,65,55,69,0
537,509,105,95,75,85,75,74,0
538,465,120,100,85,30,85,45,0
539,465,75,125,75,30,75,85,0
540,310,45,53,70,40,60,42,0
541,380,55,63,90,50,80,42,0
542,500,75,103,80,70,80,92,0
543,260,30,45,59,30,39,57,0
544,360,40,55,99,40,79,47,0
545,485,60,100,89,55,69,112,0
546,280,40,27,60,37,50,66,0
547,480,60,67,85,77,75,116,0
548,280,45,35,50,70,50,30,0
549,480,70,60,75,110,75,90,0
550,460,70,92,65,80,55,98,0
551,292,50,72,35,35,35,65,0
552,351,60,82,45,45,45,74,0
553,519,95,117,80,65,70,92,0
554,315,70,90,45,15,45,50,0
555,480,105,140,55,30,55,95,0
555,540,105,30,105,140,105,55,0
556,461,75,86,67,106,67,60,0
557,325,50,65,85,35,35,55,0
558,475,70,95,125,65,75,45,0
559,348,50,75,70,35,70,48,0
560,488,65,90,115,45,115,58,0
561,490,72,58,80,103,80,97,0
562,303,38,30,85,55,65,30,0
563,483,58,50,145,95,105,30,0
564,355,54,78,103,53,45,22,0
565,495,74,108,133,83,65,32,0
566,401,55,112,45,74,45,70,0
567,567,75,140,65,112,65,110,0
568,329,50,50,62,40,62,65,0
569,474,80,95,82,60,82,75,0
570,330,40,65,40,80,40,65,0
571,510,60,105,60,120,60,105,0
572,300,55,50,40,40,40,75,0
573,470,75,95,60,65,60,115,0
574,290,45,30,50,55,65,45,0
575,390,60,45,70,75,85,55,0
576,490,70,55,95,95,110,65,0
577,290,45,30,40,105,50,20,0
578,370,65,40,50,125,60,30,0
579,490,110,65,75,125,85,30,0
580,305,62,44,50,44,50,55,0
581,473,75,87,63,87,63,98,0
582,305,36,50,50,65,60,44,0
583,395,51,65,65,80,75,59,0
584,535,71,95,85,110,95,79,0
585,335,60,60,50,40,50,75,0
586,475,80,100,70,60,70,95,0
587,428,55,75,60,75,60,103,0
588,315,50,75,45,40,45,60,0
589,495,70,135,105,60,105,20,0
590,294,69,55,45,55,55,15,0
591,464,114,85,70,85,80,30,0
592,335,55,40,50,65,85,40,0
593,480,100,60,70,85,105,60,0
594,470,165,75,80,40,45,65,0
595,319,50,47,50,57,50,65,0
596,472,70,77,60,97,60,108,0
597,305,44,50,91,24,86,10,0
598,489,74,94,131,54,116,20,0
599,300,40,55,70,45,60,30,0
600,440,60,80,95,70,85,50,0
601,520,60,100,115,70,85,90,0
602,275,35,55,40,45,40,60,0
603,405,65,85,70,75,70,40,0
604,515,85,115,80,105,80,50,0
605,335,55,55,55,85,55,30,0
606,485,75,75,75,125,95,40,0
607,275,50,30,55,65,55,20,0
608,370,60,40,60,95,60,55,0
609,520,60,55,90,145,90,80,0
610,320,46,87,60,30,40,57,0
611,410,66,117,70,40,50,67,0
612,540,76,147,90,60,70,97,0
613,305,55,70,40,60,40,40,0
614,485,95,110,80,70,80,50,0
615,485,70,50,30,95,135,105,0
616,305,50,40,85,40,65,25,0
617,495,80,70,40,100,60,145,0
618,471,109,66,84,81,99,32,0
619,350,45,85,50,55,50,65,0
620,510,65,125,60,95,60,105,0
621,485,77,120,90,60,90,48,0
622,303,59,74,50,35,50,35,0
623,483,89,124,80,55,80,55,0
624,340,45,85,70,40,40,60,0
625,490,65,125,100,60,70,70,0
626,490,95,110,95,40,95,55,0
627,350,70,83,50,37,50,60,0
628,510,100,123,75,57,75,80,0
629,370,70,55,75,45,65,60,0
630,510,110,65,105,55,95,80,0
631,484,85,97,66,105,66,65,0
632,484,58,109,112,48,48,109,0
633,300,52,65,50,45,50,38,0
634,420,72,85,70,65,70,58,0
635,600,92,105,90,125,90,98,0
636,360,55,85,55,50,55,60,0
637,550,85,60,65,135,105,100,0
638,580,91,90,129,90,72,108,1
639,580,91,129,90,72,90,108,1
640,580,91,90,72,90,129,108,1
641,580,79,115,70,125,80,111,1
641,580,79,100,80,110,90,121,1
642,580,79,115,70,125,80,111,1
642,580,79,105,70,145,80,101,1
643,680,100,120,100,150,120,90,1
644,680,100,150,120,120,100,90,1
645,600,89,125,90,115,80,101,1
645,600,89,145,90,105,80,91,1
646,660,125,130,90,130,90,95,1
646,700,125,170,100,120,90,95,1
646,700,125,120,90,170,100,95,1
647,580,91,72,90,129,90,108,0
647,580,91,72,90,129,90,108,0
648,600,100,77,77,128,128,90,0
648,600,100,128,90,77,77,128,0
649,600,71,120,95,120,95,99,0
650,313,56,61,65,48,45,38,0
651,405,61,78,95,56,58,57,0
652,530,88,107,122,74,75,64,0
653,307,40,45,40,62,60,60,0
654,409,59,59,58,90,70,73,0
655,534,75,69,72,114,100,104,0
656,314,41,56,40,62,44,71,0
657,405,54,63,52,83,56,97,0
658,530,72,95,67,103,71,122,0
659,237,38,36,38,32,36,57,0
660,423,85,56,77,50,77,78,0
661,278,45,50,43,40,38,62,0
662,382,62,73,55,56,52,84,0
663,499,78,81,71,74,69,126,0
664,200,38,35,40,27,25,35,0
665,213,45,22,60,27,30,29,0
666,411,80,52,50,90,50,89,0
667,369,62,50,58,73,54,72,0
668,507,86,68,72,109,66,106,0
669,303,44,38,39,61,79,42,0
670,371,54,45,47,75,98,52,0
671,552,78,65,68,112,154,75,0
672,350,66,65,48,62,57,52,0
673,531,123,100,62,97,81,68,0
674,348,67,82,62,46,48,43,0
675,495,95,124,78,69,71,58,0
676,472,75,80,60,65,90,102,0
677,355,62,48,54,63,60,68,0
678,466,74,48,76,83,81,104,0
678,466,74,48,76,83,81,104,0
679,325,45,80,100,35,37,28,0
680,448,59,110,150,45,49,35,0
681,520,60,150,50,150,50,60,0
681,520,60,50,150,50,150,60,0
682,341,78,52,60,63,65,23,0
683,462,101,72,72,99,89,29,0
684,341,62,48,66,59,57,49,0
685,480,82,80,86,85,75,72,0
686,288,53,54,53,37,46,45,0
687,482,86,92,88,68,75,73,0
688,306,42,52,67,39,56,50,0
689,500,72,105,115,54,86,68,0
690,320,50,60,60,60,60,30,0
691,494,65,75,90,97,123,44,0
692,330,50,53,62,58,63,44,0
693,500,71,73,88,120,89,59,0
694,289,44,38,33,61,43,70,0
695,481,62,55,52,109,94,109,0
696,362,58,89,77,45,45,48,0
697,521,82,121,119,69,59,71,0
698,362,77,59,50,67,63,46,0
699,521,123,77,72,99,92,58,0
700,525,95,65,65,110,130,60,0
701,500,78,92,75,74,63,118,0
702,431,67,58,57,81,67,101,0
703,500,50,50,150,50,150,50,0
704,300,45,50,35,55,75,40,0
705,452,68,75,53,83,113,60,0
706,600,90,100,70,110,150,80,0
707,470,57,80,91,80,87,75,0
708,309,43,70,48,50,60,38,0
709,474,85,110,76,65,82,56,0
710,335,49,66,70,44,55,51,0
710,335,44,66,70,44,55,56,0
710,335,54,66,70,44,55,46,0
710,335,59,66,70,44,55,41,0
711,494,65,90,122,58,75,84,0
711,494,55,85,122,58,75,99,0
711,494,75,95,122,58,75,69,0
711,494,85,100,122,58,75,54,0
712,304,55,69,85,32,35,28,0
713,514,95,117,184,44,46,28,0
714,245,40,30,35,45,40,55,0
715,535,85,70,80,97,80,123,0
716,680,126,131,95,131,98,99,1
717,680,126,131,95,131,98,99,1
718,600,108,100,121,81,95,95,1
719,600,50,100,150,100,150,50,1
719,700,50,160,110,160,110,110,1
720,600,80,110,60,150,130,70,1
720,680,80,160,60,170,130,80,1
721,600,80,110,120,130,90,70,1
